interaction_id,post_id,user_id,interaction_type,timestamp,reaction_type
I000001,P00883,U0651,report,2023-11-28 21:18:00,
I000002,P00001,U0265,report,2023-09-13 09:30:00,
I000003,P01244,U0001,share,2023-05-28 21:50:00,
I000004,P00001,U0612,share,2023-04-25 19:27:00,
I000005,P00700,U0099,share,2023-04-29 17:14:00,
I000006,P00001,U0001,share,2023-02-11 04:18:00,
I000007,P01425,U0224,save,2023-02-22 05:44:00,
I000008,P00001,U0004,comment,2023-05-08 12:08:00,
I000009,P00375,U0001,comment,2023-08-30 07:59:00,
I000010,P00001,U0507,share,2023-03-22 13:49:00,
I000011,P02196,U0658,save,2023-10-07 23:15:00,
I000012,P00001,U0001,share,2023-06-14 22:43:00,
I000013,P02270,U0333,share,2023-03-29 05:37:00,
I000014,P00001,U0698,share,2023-06-27 04:45:00,
I000015,P00416,U0001,report,2023-03-01 16:20:00,angry
I000016,P00001,U0630,like,2023-02-13 14:04:00,wow
I000017,P00214,U0542,share,2023-11-23 01:23:00,
I000018,P00001,U0001,share,2023-05-13 14:29:00,
I000019,P01103,U0483,comment,2023-04-28 11:40:00,
I000020,P00001,U0791,save,2023-03-14 09:28:00,
I000021,P01212,U0001,save,2023-08-25 03:22:00,
I000022,P00001,U0720,share,2023-10-20 14:12:00,
I000023,P01186,U0618,comment,2023-04-15 01:21:00,
I000024,P00001,U0001,comment,2023-10-01 00:14:00,
I000025,P00512,U0543,like,2023-04-22 13:05:00,care
I000026,P00001,U0246,save,2023-11-26 16:58:00,
I000027,P00747,U0001,save,2023-01-20 16:30:00,
I000028,P00001,U0180,comment,2023-10-13 02:22:00,
I000029,P01966,U0557,share,2023-09-01 06:00:00,
I000030,P00001,U0001,like,2023-04-05 10:43:00,wow
I000031,P00744,U0126,report,2023-08-16 22:19:00,
I000032,P00001,U0677,comment,2023-04-19 10:46:00,
I000033,P01977,U0001,save,2023-01-26 03:32:00,
I000034,P00001,U0365,comment,2023-08-06 21:30:00,
I000035,P01199,U0286,report,2023-07-15 15:05:00,
I000036,P00001,U0001,report,2023-07-13 05:37:00,angry
I000037,P02412,U0067,report,2023-06-08 07:13:00,
I000038,P00001,U0602,report,2023-11-06 18:16:00,
I000039,P01762,U0001,save,2023-06-24 01:39:00,
I000040,P00001,U0600,like,2023-01-15 22:02:00,like
I000041,P02181,U0610,comment,2023-10-11 10:30:00,
I000042,P00001,U0001,share,2023-09-30 07:53:00,
I000043,P00671,U0098,save,2023-12-27 02:34:00,
I000044,P00001,U0680,share,2023-09-25 09:57:00,
I000045,P00698,U0001,save,2023-05-31 12:17:00,
I000046,P00001,U0305,report,2023-11-14 21:39:00,
I000047,P02388,U0380,share,2023-08-13 05:35:00,
I000048,P00001,U0001,share,2023-11-22 22:36:00,
I000049,P02130,U0130,save,2023-09-23 23:07:00,
I000050,P00211,U0184,save,2023-03-15 02:28:00,
I000051,P01896,U0749,like,2023-10-03 19:42:00,
I000052,P00564,U0307,save,2023-09-28 17:12:00,
I000053,P01851,U0084,share,2023-08-25 00:59:00,
I000054,P02379,U0542,share,2023-06-03 08:59:00,
I000055,P00406,U0273,comment,2023-04-16 13:31:00,
I000056,P02143,U0401,comment,2023-09-25 03:05:00,
I000057,P00892,U0654,save,2023-01-16 06:33:00,
I000058,P01400,U0771,like,2023-08-11 17:07:00,angry
I000059,P01007,U0625,share,2023-09-09 17:05:00,
I000060,P01379,U0591,save,2023-01-06 00:47:00,
I000061,P02347,U0646,report,2023-03-27 03:28:00,
I000062,P02364,U0049,save,2023-07-09 10:09:00,
I000063,P01742,U0434,share,2023-10-27 06:14:00,
I000064,P00367,U0644,save,2023-12-03 10:47:00,
I000065,P02206,U0769,like,2023-01-11 23:29:00,
I000066,P01305,U0200,like,2023-03-06 21:25:00,care
I000067,P00498,U0125,save,2023-10-22 07:50:00,
I000068,P00327,U0011,save,2023-05-08 17:08:00,
I000069,P01943,U0315,share,2023-03-10 20:55:00,
I000070,P01432,U0125,like,2023-05-05 23:27:00,angry
I000071,P00242,U0707,save,2023-09-29 10:52:00,
I000072,P00414,U0515,share,2023-03-04 01:18:00,
